iterations,accuracy,completeness,overall
100,0.6465305355979071,0.9120191901584562,0.7792748628781816
500,0.5789023891727901,0.7513115781317787,0.6651069836522845
1000,0.5579200612529116,0.6942493380335238,0.6260846996432177
2000,0.5831669109522308,0.6808246621460425,0.6319957865491367
3000,0.5684557372350159,0.694768636465048,0.631612186850032
