iterations,accuracy,completeness,overall
100,0.7924137469076344,0.8496400937754173,0.8210269203415259
500,0.7014899975030296,0.7044531006728332,0.7029715490879314
1000,0.7207792005373608,0.6625584354095551,0.6916688179734579
2000,0.8435409413853274,0.6705163255474589,0.7570286334663932
3000,0.9297355562017298,0.6896160710035356,0.8096758136026327
